Sensing Range,Total Nodes,Unconnected Nodes,Intruder Distance Traveled,Total Detections,BaseDistance From Center
41.0,400,12.036,38.462,976,500
43.0,400,12.141,37.896,974,500
45.0,400,5.614,22.095,990,500
47.0,400,2.046,12.175,996,500
49.0,400,0.336,7.857,1000,500
51.0,400,0.168,6.777,1000,500
53.0,400,0.1,6.037,1000,500
55.0,400,0.449,6.36,999,500
57.0,400,0.017,4.04,1000,500
59.0,400,0.013,3.659,1000,500
61.0,400,0.425,4.273,999,500
63.0,400,0.0080,3.217,1000,500
65.0,400,0.012,2.809,1000,500
67.0,400,0.0040,2.421,1000,500
69.0,400,0.0020,1.842,1000,500
71.0,400,0.0,1.822,1000,500
73.0,400,0.0,1.732,1000,500
75.0,400,0.0010,1.647,1000,500
